store_id,period,state,pre_treatment_sales,cohort,relative_period,treated,sales
23,1,PB,6.929273281192154,5,-4,0,18.591692800671275
23,2,PB,6.929273281192154,5,-3,0,23.312689264596948
23,3,PB,6.929273281192154,5,-2,0,24.077610319282268
23,4,PB,6.929273281192154,5,-1,0,21.534102604173494
23,5,PB,6.929273281192154,5,0,1,23.083833955185103
23,6,PB,6.929273281192154,5,1,1,18.971746041741593
23,7,PB,6.929273281192154,5,2,1,3.6162209133286964
23,8,PB,6.929273281192154,5,3,1,13.719991077497976
23,9,PB,6.929273281192154,5,4,1,26.09180756948425
23,10,PB,6.929273281192154,5,5,1,11.756290457504331
23,11,PB,6.929273281192154,5,6,1,21.58048398459526
23,12,PB,6.929273281192154,5,7,1,31.850723683427553
24,1,PB,8.323909412333013,5,-4,0,15.13297297322345
24,2,PB,8.323909412333013,5,-3,0,21.571631018731384
24,3,PB,8.323909412333013,5,-2,0,21.76556872437676
24,4,PB,8.323909412333013,5,-1,0,16.921923521390102
24,5,PB,8.323909412333013,5,0,1,16.81495769781679
24,6,PB,8.323909412333013,5,1,1,11.884505066131087
24,7,PB,8.323909412333013,5,2,1,16.054131740199317
24,8,PB,8.323909412333013,5,3,1,17.71794338217623
24,9,PB,8.323909412333013,5,4,1,25.179406564078604
24,10,PB,8.323909412333013,5,5,1,11.547781423520053
24,11,PB,8.323909412333013,5,6,1,17.059740678021495
24,12,PB,8.323909412333013,5,7,1,18.849270649115198
25,1,PB,7.76120458155726,5,-4,0,14.630011422562788
25,2,PB,7.76120458155726,5,-3,0,13.526600321397424
25,3,PB,7.76120458155726,5,-2,0,12.454006062976152
25,4,PB,7.76120458155726,5,-1,0,13.1038401354423
25,5,PB,7.76120458155726,5,0,1,10.85946736491147
25,6,PB,7.76120458155726,5,1,1,22.990288649763876
25,7,PB,7.76120458155726,5,2,1,24.300776811834808
25,8,PB,7.76120458155726,5,3,1,20.200518708970662
25,9,PB,7.76120458155726,5,4,1,16.829055309580315
25,10,PB,7.76120458155726,5,5,1,21.196911128973532
25,11,PB,7.76120458155726,5,6,1,22.417629922899216
25,12,PB,7.76120458155726,5,7,1,25.99810947348987
26,1,PB,10.336177700347168,5,-4,0,16.69118357976117
26,2,PB,10.336177700347168,5,-3,0,21.399162629728025
26,3,PB,10.336177700347168,5,-2,0,17.418076544671276
26,4,PB,10.336177700347168,5,-1,0,21.664259094327555
26,5,PB,10.336177700347168,5,0,1,12.411198345882708
26,6,PB,10.336177700347168,5,1,1,14.29855546697738
26,7,PB,10.336177700347168,5,2,1,21.723271028483808
26,8,PB,10.336177700347168,5,3,1,27.217185592948262
26,9,PB,10.336177700347168,5,4,1,29.380949079075638
26,10,PB,10.336177700347168,5,5,1,21.585231332241598
26,11,PB,10.336177700347168,5,6,1,24.94442959610502
26,12,PB,10.336177700347168,5,7,1,22.121227318156283
27,1,PB,5.1470721288777845,5,-4,0,9.955596082872777
27,2,PB,5.1470721288777845,5,-3,0,6.343729137490645
27,3,PB,5.1470721288777845,5,-2,0,13.60810597164905
27,4,PB,5.1470721288777845,5,-1,0,20.05673851670802
27,5,PB,5.1470721288777845,5,0,1,16.686509543892456
27,6,PB,5.1470721288777845,5,1,1,18.63133922079544
27,7,PB,5.1470721288777845,5,2,1,18.295019286795114
27,8,PB,5.1470721288777845,5,3,1,10.65014456635188
27,9,PB,5.1470721288777845,5,4,1,7.313307209382873
27,10,PB,5.1470721288777845,5,5,1,11.265440493915415
27,11,PB,5.1470721288777845,5,6,1,15.606015273964012
27,12,PB,5.1470721288777845,5,7,1,18.843083336052544
28,1,PB,9.83469117484842,5,-4,0,4.986865764338042
28,2,PB,9.83469117484842,5,-3,0,7.992830907329053
28,3,PB,9.83469117484842,5,-2,0,9.107587015249994
28,4,PB,9.83469117484842,5,-1,0,9.211871997976766
28,5,PB,9.83469117484842,5,0,1,12.0872385464438
28,6,PB,9.83469117484842,5,1,1,15.034677353289421
28,7,PB,9.83469117484842,5,2,1,21.728717644752585
28,8,PB,9.83469117484842,5,3,1,21.959930194198193
28,9,PB,9.83469117484842,5,4,1,19.491763405212478
28,10,PB,9.83469117484842,5,5,1,15.700791949175304
28,11,PB,9.83469117484842,5,6,1,18.43278909278039
28,12,PB,9.83469117484842,5,7,1,16.82767496002627
29,1,PB,10.041963198125242,5,-4,0,17.207901100691814
29,2,PB,10.041963198125242,5,-3,0,12.234179193148234
29,3,PB,10.041963198125242,5,-2,0,16.431747336194565
29,4,PB,10.041963198125242,5,-1,0,16.854263331811822
29,5,PB,10.041963198125242,5,0,1,12.603938600183689
29,6,PB,10.041963198125242,5,1,1,19.717658783273375
29,7,PB,10.041963198125242,5,2,1,10.030317812219646
29,8,PB,10.041963198125242,5,3,1,10.79187861764333
29,9,PB,10.041963198125242,5,4,1,14.684662222695266
29,10,PB,10.041963198125242,5,5,1,13.261315608534915
29,11,PB,10.041963198125242,5,6,1,9.57862587611694
29,12,PB,10.041963198125242,5,7,1,14.91430086308046
30,1,PB,6.373275220589386,5,-4,0,22.282806684577075
30,2,PB,6.373275220589386,5,-3,0,11.577055640589915
30,3,PB,6.373275220589386,5,-2,0,16.782125768786635
30,4,PB,6.373275220589386,5,-1,0,7.564957175191182
30,5,PB,6.373275220589386,5,0,1,17.81759502867833
30,6,PB,6.373275220589386,5,1,1,20.50804680874552
30,7,PB,6.373275220589386,5,2,1,23.035949557309632
30,8,PB,6.373275220589386,5,3,1,13.796255445947983
30,9,PB,6.373275220589386,5,4,1,18.24192057594319
30,10,PB,6.373275220589386,5,5,1,21.4880646205579
30,11,PB,6.373275220589386,5,6,1,19.663328810432255
30,12,PB,6.373275220589386,5,7,1,8.600310198922147
31,1,PB,6.456138241885491,5,-4,0,12.997761198768021
31,2,PB,6.456138241885491,5,-3,0,9.222163808092608
31,3,PB,6.456138241885491,5,-2,0,10.526650601775962
31,4,PB,6.456138241885491,5,-1,0,7.445280779331171
31,5,PB,6.456138241885491,5,0,1,14.470403335650136
31,6,PB,6.456138241885491,5,1,1,22.048888722855516
31,7,PB,6.456138241885491,5,2,1,18.958463218521686
31,8,PB,6.456138241885491,5,3,1,16.967404249023947
31,9,PB,6.456138241885491,5,4,1,17.3083412610353
31,10,PB,6.456138241885491,5,5,1,10.128295297054786
31,11,PB,6.456138241885491,5,6,1,12.29657555868603
31,12,PB,6.456138241885491,5,7,1,15.414956902438067
32,1,PB,9.173731072002923,5,-4,0,26.811148909021455
32,2,PB,9.173731072002923,5,-3,0,25.910811749983228
32,3,PB,9.173731072002923,5,-2,0,16.651062482128175
32,4,PB,9.173731072002923,5,-1,0,14.981838680396667
32,5,PB,9.173731072002923,5,0,1,16.8052804101957
32,6,PB,9.173731072002923,5,1,1,20.122252981300125
32,7,PB,9.173731072002923,5,2,1,21.598817929438113
32,8,PB,9.173731072002923,5,3,1,21.07231838228237
32,9,PB,9.173731072002923,5,4,1,24.125595344632632
32,10,PB,9.173731072002923,5,5,1,23.632660412344237
32,11,PB,9.173731072002923,5,6,1,23.45486367397015
32,12,PB,9.173731072002923,5,7,1,24.168077424700883
33,1,PB,6.633182132192711,5,-4,0,10.69722861577765
33,2,PB,6.633182132192711,5,-3,0,6.689149532343832
33,3,PB,6.633182132192711,5,-2,0,7.824817677683013
33,4,PB,6.633182132192711,5,-1,0,13.09780272419285
33,5,PB,6.633182132192711,5,0,1,16.171500964872976
33,6,PB,6.633182132192711,5,1,1,20.81395490733377
33,7,PB,6.633182132192711,5,2,1,20.846503816953955
33,8,PB,6.633182132192711,5,3,1,16.786232887877144
33,9,PB,6.633182132192711,5,4,1,22.720946222485477
33,10,PB,6.633182132192711,5,5,1,22.12894269318761
33,11,PB,6.633182132192711,5,6,1,29.510067101860567
33,12,PB,6.633182132192711,5,7,1,31.351286368923546
34,1,PB,5.8732542669931425,5,-4,0,19.452253357298144
34,2,PB,5.8732542669931425,5,-3,0,31.49725493893751
34,3,PB,5.8732542669931425,5,-2,0,33.31825334489404
34,4,PB,5.8732542669931425,5,-1,0,32.6582111999726
34,5,PB,5.8732542669931425,5,0,1,34.80413022335228
34,6,PB,5.8732542669931425,5,1,1,27.493457423680628
34,7,PB,5.8732542669931425,5,2,1,31.43117773323599
34,8,PB,5.8732542669931425,5,3,1,28.00894485279372
34,9,PB,5.8732542669931425,5,4,1,25.464086927858695
34,10,PB,5.8732542669931425,5,5,1,28.196007281130004
34,11,PB,5.8732542669931425,5,6,1,27.161911601802515
34,12,PB,5.8732542669931425,5,7,1,31.3268410161353
35,1,PB,10.180800391999277,5,-4,0,21.75177380724146
35,2,PB,10.180800391999277,5,-3,0,20.67860817064044
35,3,PB,10.180800391999277,5,-2,0,18.862142032306373
35,4,PB,10.180800391999277,5,-1,0,21.601290262027895
35,5,PB,10.180800391999277,5,0,1,18.5315951888211
35,6,PB,10.180800391999277,5,1,1,13.036273322653122
35,7,PB,10.180800391999277,5,2,1,19.334982559732218
35,8,PB,10.180800391999277,5,3,1,15.053782777182786
35,9,PB,10.180800391999277,5,4,1,23.367710406842292
35,10,PB,10.180800391999277,5,5,1,13.793320333383111
35,11,PB,10.180800391999277,5,6,1,26.46999133907405
35,12,PB,10.180800391999277,5,7,1,23.756005693145674
36,1,PB,7.915826440826422,5,-4,0,19.69945284502888
36,2,PB,7.915826440826422,5,-3,0,18.311373310942717
36,3,PB,7.915826440826422,5,-2,0,19.229752620440124
36,4,PB,7.915826440826422,5,-1,0,16.476122167554202
36,5,PB,7.915826440826422,5,0,1,19.050533462130485
36,6,PB,7.915826440826422,5,1,1,14.139101953787186
36,7,PB,7.915826440826422,5,2,1,11.254940679072707
36,8,PB,7.915826440826422,5,3,1,14.170802930546659
36,9,PB,7.915826440826422,5,4,1,19.64757448381479
36,10,PB,7.915826440826422,5,5,1,18.257446781287594
36,11,PB,7.915826440826422,5,6,1,18.374612309580375
36,12,PB,7.915826440826422,5,7,1,27.44383234114911
37,1,PB,4.304779242569799,5,-4,0,15.318394495812274
37,2,PB,4.304779242569799,5,-3,0,16.222964567486194
37,3,PB,4.304779242569799,5,-2,0,9.412957105973634
37,4,PB,4.304779242569799,5,-1,0,10.755816706078813
37,5,PB,4.304779242569799,5,0,1,8.783297229306836
37,6,PB,4.304779242569799,5,1,1,7.131285947260393
37,7,PB,4.304779242569799,5,2,1,21.253188136936558
37,8,PB,4.304779242569799,5,3,1,17.96890643391592
37,9,PB,4.304779242569799,5,4,1,20.677281047549535
37,10,PB,4.304779242569799,5,5,1,19.60043116050703
37,11,PB,4.304779242569799,5,6,1,17.094364767523103
37,12,PB,4.304779242569799,5,7,1,12.191017805966023
38,1,PB,9.853176253131936,5,-4,0,8.338548049269281
38,2,PB,9.853176253131936,5,-3,0,17.840484706418827
38,3,PB,9.853176253131936,5,-2,0,7.418859169681479
38,4,PB,9.853176253131936,5,-1,0,9.399544212089744
38,5,PB,9.853176253131936,5,0,1,16.239508189686774
38,6,PB,9.853176253131936,5,1,1,9.821936454297362
38,7,PB,9.853176253131936,5,2,1,9.94090704720742
38,8,PB,9.853176253131936,5,3,1,17.61402280076498
38,9,PB,9.853176253131936,5,4,1,20.985377393673783
38,10,PB,9.853176253131936,5,5,1,21.398646668770766
38,11,PB,9.853176253131936,5,6,1,12.429058980065902
38,12,PB,9.853176253131936,5,7,1,13.614879376009963
39,1,PB,7.380893634536919,5,-4,0,16.095584639852976
39,2,PB,7.380893634536919,5,-3,0,27.360473693546346
39,3,PB,7.380893634536919,5,-2,0,13.833285412853916
39,4,PB,7.380893634536919,5,-1,0,18.276345518664705
39,5,PB,7.380893634536919,5,0,1,18.770918581599993
39,6,PB,7.380893634536919,5,1,1,27.897905567312307
39,7,PB,7.380893634536919,5,2,1,21.003759228662908
39,8,PB,7.380893634536919,5,3,1,18.77532488584029
39,9,PB,7.380893634536919,5,4,1,24.166837844369855
39,10,PB,7.380893634536919,5,5,1,26.22211945513318
39,11,PB,7.380893634536919,5,6,1,24.660400636624384
39,12,PB,7.380893634536919,5,7,1,24.571419744919154
40,1,PB,7.090201340794828,5,-4,0,20.040135049084007
40,2,PB,7.090201340794828,5,-3,0,10.889890705277615
40,3,PB,7.090201340794828,5,-2,0,16.87091750498167
40,4,PB,7.090201340794828,5,-1,0,11.023433089144559
40,5,PB,7.090201340794828,5,0,1,18.743855880976064
